task,repeat,method,contrast,channel,correlation,rmse,rms_half_a,rms_half_b
1,1,SELECTED,common,F3,0.53069014861213182,16.644255181432591,12.023197876030348,8.097766298011587
1,1,SELECTED,common,F4,0.64857991297392636,11.387839876444854,9.0808046679750163,8.498228370158774
1,1,SELECTED,difference,Fz,-0.41247784400568543,14.922187294543949,9.8999956050974802,7.3139882902555842
1,1,SELECTED,difference,F3,-0.65692211297503156,9.2863338262165733,5.5745922079680401,6.8991549818169249
1,1,SELECTED,difference,F4,-0.18416611094478499,12.459132545094315,7.8273738497371017,6.6486225897141082
1,2,P0,common,Fz,0.35608640023496269,25.86321882578935,26.583439554733811,3.1334611146482798
1,2,P0,common,F3,0.38912397902937107,7.4232023318420133,7.9285526175412473,3.0650541343039523
1,2,P0,common,F4,0.3188018913154792,11.179278256712625,10.480987994757834,7.6805214114542801
1,2,P0,difference,Fz,-0.39248782697035478,68.121432068235904,64.758360751084922,4.9913621230840404
1,2,P0,difference,F3,-0.73145979126481997,14.453544439440192,8.0846785628544886,7.4164453953510598
1,2,P0,difference,F4,0.026725535820203285,9.6841043396779174,5.1457343858870983,9.8715829055931295
1,2,W0,common,Fz,0.77450445626244757,5.8492917435524143,7.1125375597653129,4.5883627133818825
1,2,W0,common,F3,0.77272575084947048,5.9943039759855061,8.3524627582196569,4.491185180281005
1,2,W0,common,F4,0.768182620556771,6.8301068905088806,9.6160930517758665,4.4384730184796082
1,2,W0,difference,Fz,0.070874934323679875,13.492456290741389,9.6317869858305762,5.402348581905807
1,2,W0,difference,F3,-0.79830896043600097,11.95547249368367,6.4109471417396779,7.4120859767025209
1,2,W0,difference,F4,-0.73661954115940087,13.739674809693931,4.2619736290903569,10.658716443774733
1,2,SELECTED,common,Fz,0.32759581256384451,28.800268367491299,26.583439554733811,4.5363098270474866
1,2,SELECTED,common,F3,0.81131598562460094,5.4017466178058093,7.9285526175412473,4.4654449831572878
1,2,SELECTED,common,F4,0.7672532794360436,7.6436449959493284,10.480987994757834,4.3986457574010371
1,2,SELECTED,difference,Fz,-0.32671434014044987,68.650491137656772,64.758360751084922,5.2222270872330725
1,2,SELECTED,difference,F3,-0.50245973184547232,11.682513632650249,8.0846785628544886,7.3196491896115621
1,2,SELECTED,difference,F4,0.45611856877597606,8.8160568610821954,5.1457343858870983,10.554722428740142
1,3,P0,common,Fz,0.25432883617016111,11.602341381865243,12.182040717832367,17.54058775558444
1,3,P0,common,F3,0.82899458628926592,4.1958929194852734,3.4783891177970871,6.2683043368928741
1,3,P0,common,F4,0.88900089185674136,5.9988282056921634,7.9696627574247527,7.992875752741524
1,3,P0,difference,Fz,-0.22522859501944825,23.941849490546563,35.265004088366354,32.293133279433498
1,3,P0,difference,F3,-0.61523038496386218,11.497536857803766,6.9899860225349126,5.5426563513758138
1,3,P0,difference,F4,-0.14531002830592621,18.733229347545201,7.8445973180077608,13.456503137852138
1,3,W0,common,Fz,0.7942412508145984,5.0308064448364913,5.0917439361665933,6.6730820346695818
1,3,W0,common,F3,0.88735565088291291,4.1242370543902345,5.4587444052148095,6.9068963478426477
1,3,W0,common,F4,0.81643584942525971,4.7516240330254451,6.1585715027735812,7.996431451672434
1,3,W0,difference,Fz,0.11353537697791347,13.826633455840968,10.156478253369855,5.7402316779827496
1,3,W0,difference,F3,-0.33852438278077618,9.5928378601006088,8.055469621007461,2.997782414281454
1,3,W0,difference,F4,0.22847926565273405,12.243368406958353,5.3001154038481566,8.6574676844642315
1,3,SELECTED,common,Fz,0.81249398769040093,4.8940418743430438,5.0302084628947092,6.6301973777179031
1,3,SELECTED,common,F3,0.90341432310165493,4.0283858452317096,5.4376361322406126,6.8770903076878369
