trial_key,task,channel,effective_pre_s,effective_post_s,rmse_native,training_scaled_rmse
A_Task-2_trial-003,2,Fz,2,3,7.5649693867848216,0.077962900647431152
A_Task-2_trial-003,2,F3,2,3,13.01118051385307,0.11079285143368021
A_Task-2_trial-003,2,F4,2,3,13.633781893220645,0.092565670184058618
A_Task-2_trial-004,2,Fz,2,3,2.2554947657529762,0.023244629996835443
A_Task-2_trial-004,2,F3,2,3,2.9494636627106039,0.025115283662678452
A_Task-2_trial-004,2,F4,2,3,3.2221357275862905,0.021876479716631873
A_Task-2_trial-005,2,Fz,2,3,2.7411342852605167,0.028249523430505269
A_Task-2_trial-005,2,F3,2,3,1.7836843414356325,0.01518843536409731
A_Task-2_trial-005,2,F4,2,3,3.3463886860641838,0.022720087049060839
A_Task-2_trial-006,2,Fz,2,3,20.401280552069601,0.21025108330773648
A_Task-2_trial-006,2,F3,2,3,14.958196079638215,0.12737208543088924
A_Task-2_trial-006,2,F4,2,3,23.23818136852843,0.15777411206102288
A_Task-2_trial-007,2,Fz,2,3,8.4840527666482757,0.087434770600556433
A_Task-2_trial-007,2,F3,2,3,17.4847538857431,0.14888623961177594
A_Task-2_trial-007,2,F4,2,3,16.431207629694512,0.11155860920236557
A_Task-2_trial-008,2,Fz,2,3,18.885081882703595,0.19462547530090907
A_Task-2_trial-008,2,F3,2,3,15.43756636956123,0.13145402105975962
A_Task-2_trial-008,2,F4,2,3,22.835165100476509,0.15503785947612167
A_Task-2_trial-009,2,Fz,2,3,1.4196715408233795,0.014630820778012341
A_Task-2_trial-009,2,F3,2,3,3.2544322402130303,0.027712153198320703
A_Task-2_trial-009,2,F4,2,3,2.2432983033892189,0.015230727064750772
A_Task-2_trial-010,2,Fz,2,3,7.0743601426341494,0.072906790331208657
A_Task-2_trial-010,2,F3,2,3,19.693662923978369,0.16769554985408233
A_Task-2_trial-010,2,F4,2,3,16.29623976369869,0.11064225370635843
A_Task-2_trial-011,2,Fz,2,3,18.042622482042958,0.18594327512334635
A_Task-2_trial-011,2,F3,2,3,30.738333676563073,0.2617431702465734
A_Task-2_trial-011,2,F4,2,3,26.67195479110806,0.18108749206157443
A_Task-2_trial-012,2,Fz,2,3,2.4873998590708077,0.025634592576400553
A_Task-2_trial-012,2,F3,2,3,3.8915062913168157,0.033136968465547541
A_Task-2_trial-012,2,F4,2,3,4.0823338975398835,0.02771673891371117
A_Task-2_trial-013,2,Fz,2,3,8.7504042658108556,0.090179730217019874
